product,positive,negative
Bilbao Nightstand Gray Oak - South Shore,81,19
Udi's Pepperoni Pizza,81,19
"Physicians Formula Mineral Wear Talc-Free Mineral Correcting Powder, Creamy Natural",80.64,19.36
Switchmas (dvd),80.57,19.43
J.a. Henckels International 4-Pc Everedge Plus Steak Knife Set,80.56,19.44
Plum Organics Just Prunes,80.5,19.5
"Smead174 Recycled Letter Size Manila File Backs W/prong Fasteners, 2 Capacity, 100/box",80.5,19.5
Mrs. Meyer's Lemon Verbena Surface Scrub,80.47,19.53
Vaseline Intensive Care Healthy Hands Stronger Nails,80.38,19.62
Doc Mcstuffins: Friendship Is The Best Medicine,80.3,19.7
Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks,80.27,19.73
Kendall Comforter And Sheet Set (twin) Aqua - 7pc,80.17,19.83
"Coty Airspun Face Powder, Translucent Extra Coverage",80.04,19.96
Disney174 Jake And The Neverland Pirates 4 Piece Bedding Set - Toddler,80,20
Charcoal Stone Toothbrush Holder Gray,80,20
"Lundberg Wehani Rice, 25lb",79.96,20.04
"Pleasant Hearth 1,800 sq ft Wood Burning Stove with Blower, Medium, LWS-127201",79.96,20.04
Bedtime Originals Pinkie Musical Mobile,79.83,20.17
Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo),79.7,20.3
Olay Regenerist Deep Hydration Regenerating Cream,79.61,20.39
"2x Ultra Era with Oxi Booster, 50fl oz",79.47,20.53
D-Con Mice Bait Station - 3ct,79.29,20.71
"Caress Moisturizing Body Bar Natural Silk, 4.75oz",79.25,20.75
Care Free Curl Gold Instant Activator,79.15,20.85
"Physicians Formula Powder Palette Mineral Glow Pearls, Translucent Pearl",79.14,20.86
"Shea Moisture Mango & Carrot Kids Extra-Nourishing Conditioner, 8fl Oz",79.04,20.96
Progresso Traditional Chicken Tuscany Soup,79,21
Stander Pt Bedcane - Bed Handle,79,21
The Honest Company Laundry Detergent,79,21
Chex Muddy Buddies Brownie Supreme Snack Mix,78.86,21.14
"Banana Boat Sunless Summer Color Self Tanning Lotion, Light To Medium",78.62,21.38
"Newman's Own Balsamic Vinaigrette, 16.0oz",78.5,21.5
Cars Toon: Mater's Tall Tales,78.5,21.5
Sizzix Framelits Dies 1by Tim Holtz Bird Crazy-Silver Asst Sizes,78.41,21.59
Stacy's Simply Naked Bagel Chips,78.33,21.67
Mike Dave Need Wedding Dates (dvd + Digital),78.31,21.69
SC Johnson One Step No Buff Wax,78.25,21.75
Bisquick Original Pancake And Baking Mix - 40oz,78.03,21.97
Clear Scalp & Hair Therapy Total Care Nourishing Shampoo,78.03,21.97
Wedding Wishes Wedding Guest Book,78,22
"L'oreal Paris Colour Caresse Wet Shine Stain, Pink Resistance",78,22
Fantasy Fields Lil' Sports Fan Step Stool - Teamson,78,22
Africa's Best No-Lye Dual Conditioning Relaxer System Super,77.83,22.17
Progresso Light Vegetable & Noodle Soup,77.67,22.33
Hoover174 Platinum Collection153 Lightweight Bagged Upright Vacuum With Canister - Uh30010com,77.31,22.69
Voortman Sugar Free Fudge Chocolate Chip Cookies,77.25,22.75
"L'oreal Paris Visible Lift Smooth Absolute, Natural Buff",77.14,22.86
"Finish Quantum Dishwasher Detergent, Lemon Sparkle Scent, 45 Count",77.09,22.91
Power Crunch Protein Energy Bar Peanut Butter Creme Original,77.03,22.97
"Bounce Dryer Sheets, Fresh Linen, 160 sheets",77.03,22.97
Progresso Traditional Meatball & Rice Soup,77,23
"Burt's Bees Lip Shimmer, Raisin",76.82,23.18
Starbucks153 Doubleshot Protein Coffee - 11 Fl Oz,76.67,23.33
Trend Lab Park Nursing Cover - Paisley,76.45,23.55
"Ben & Jerry's Coffee, Coffee Buzzbuzzbuzz! Ice Cream, Pint",76.09,23.91
Equals (blu-Ray),76.08,23.92
CeraVe SA Renewing Cream,75.84,24.16
Alex Cross (dvdvideo),75.82,24.18
"Pantene Color Preserve Volume Shampoo, 25.4oz",75.76,24.24
"Pleasant Hearth 7.5 Steel Grate, 30 5 Bar - Black",75.48,24.52
"Burt's Bees Lip Shimmer, Watermelon",75.37,24.62
"Tree Hut Shea Body Butters, Coconut Lime, 7 oz",75.28,24.72
"Finish Gelpacs Dishwasher Detergent, Orange Scent, 84ct",75.25,24.75
Toy Story Kids' Woody Accessory Kit,75,25
Southern Enterprises Archer Fold-Away Home Bar in Walnut,75,25
Nearly Natural 5.5' Bamboo W/decorative Planter,74.67,25.33
Head & Shoulders Dandruff Shampoo Ocean Lift 2 In 1,74.5,25.5
Baxter Of California Cream Pomade,74.25,25.75
Scooby Doo And The Loch Ness Monster (blu-Ray),74.14,25.86
Happy Tot Apple and Butternut Squash,73.89,26.11
"Lysol Concentrate Deodorizing Cleaner, Original Scent",73.67,26.33
Tostitos Bite Size Tortilla Chips,73.59,26.41
Annie's Homegrown Deluxe Elbows & Four Cheese Sauce,73.5,26.5
"Suave Professionals Hair Conditioner, Sleek",73.02,26.98
"Creme Of Nature Intensive Conditioning Treatment, 32",73,27
Various Artists - Choo Choo Soul (cd),72.76,27.24
4C Grated Parmesan Cheese 100% Natural 8oz Shaker,72.5,27.5
"Simple Green All-Purpose Cleaner, 16oz",72.45,27.55
Little Bedding By Nojo Jungle Dreams 2 Pack Sheet Set,72.38,27.62
Axe Dry Anti-Perspirant Deodorant Invisible Solid Phoenix,72.21,27.79
Ragu Roasted Garlic Parmesan Pasta Sauce,72.02,27.98
"Johnson's Baby Bubble Bath and Wash, 15oz",72,28
Orajel Maximum Strength Toothache Pain Relief Liquid,71.87,28.13
The Resident Evil Collection 5 Discs (blu-Ray),71.73,28.27
Chester's Cheese Flavored Puffcorn Snacks,71.61,28.39
"Dermalogica Special Cleansing Gel, 8.4oz",71.5,28.5
Diet Canada Dry Ginger Ale - 12pk/12 Fl Oz Cans,71.36,28.64
"Australian Gold Exotic Blend Lotion, SPF 4",71.24,28.76
Bumble Bee Solid White Albacore In Water - 5 Oz,71.09,28.91
Calvin Klein Secret Obsession Eau De Parfum,71,29
Bill Glor Gaither - Church In The Wildwood (cd),70.67,29.33
Yes To Grapefruit Rejuvenating Body Wash,70.66,29.34
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),70.64,29.36
"Hormel Chili, No Beans",70.61,29.39
Honeywell Heatbud Ceramic Heater Black,70.11,29.89
"Just For Men Touch Of Gray Gray Hair Treatment, Black T-55",69.68,30.32
Holmes174 Personal Indoor Heater W/ Manual Controls White 1500w Hfh131-N,68.62,31.37
"Kikkoman Soy Sauce, 5fl oz",68.6,31.4
Wagan Smartac 80watt Inverter With Usb,68.4,31.6
Chobani174 Strawberry On The Bottom Non-Fat Greek Yogurt - 5.3oz,68.12,31.88
Ragu Traditional Pasta Sauce,67.77,32.23
Chips Ahoy! Original Chocolate Chip - Cookies - Family Size 18.2oz,67.65,32.35
"Pendaflex174 Divide It Up File Folder, Multi Section, Letter, Assorted, 12/pack",67.19,32.81
JNH Lifestyles Goldstar 3 Person FAR Infrared Sauna,67,33
Clorox Ultimate Care Premium Bleach,67,33
"Neutrogena Wet Skin Sunscreen Spray Broad Spectrum SPF 50, 5oz",66.21,33.79
L'oreal Paris Advanced Hairstyle Boost It High Lift Creation Spray,65.85,34.15
"Super Poligrip Denture Adhesive Cream, Ultra Fresh - 2.4 Oz",65.83,34.17
Various - Red Hot Blue:Tribute To Cole Porter (cd),65,35
Spam Single Classic,64.62,35.38
Home Health Hairever Shampoo,64.5,35.5
Meguiar's Deep Crystal Car Wash 64-Oz.,64,36
"All,bran Complete Wheat Flakes, 18 Oz.",63.82,36.18
Solo Foods Poppy Seed Cake and Pastry Filling,63.75,36.25
Tai Pei Sweet & Sour Chicken,62.11,37.89
"Aveeno Baby Continuous Protection Lotion Sunscreen with Broad Spectrum SPF 55, 4oz",61.02,38.98
Barielle Nail Rebuilding Protein,60.88,39.12
"RC Cola, 12oz",60.5,39.5
Heiress (dvd),60.17,39.83
Plano Mini-Magnum 13-Compartment Tackle Box,60,40
Nature's Path Flax Plus Maple Pecan Crunch Cereal,60,40
Clambake (dvd),59.25,40.75
Alberto VO5 Salon Series Smooth Plus Sleek Shampoo,59,41
Olay Moisturizing Lotion For Sensitive Skin,59,41
Maranatha No Stir Raw Maple Almond Butter,58.27,41.73
Annie's Homegrown Gluten Free Double Chocolate Chip Granola Bars,58.2,41.8
Post Bound Jumbo Album - Burgundy (11x14),56.75,43.25
Lay's Salt & Vinegar Flavored Potato Chips,55.83,44.17
Various - Country's Greatest Gospel:Gold Ed (cd),55,45
Arrid Extra Dry Anti-Perspirant Deodorant Spray Regular,54.89,45.11
"Vicks Vaporub, Regular, 3.53oz",54.16,45.84
Coola Organic Sunscreen Classic Face Cucumber SPF 30,54,46
0.6 Cu. Ft. Letter A4 Size Waterproof 30 Min. Fire File Chest,53.5,46.5
Queen Helene Cocoa Butter Solid,53.44,46.56
Black Front Loading Frame Set (8.5x11) Set Of 12,52.78,47.22
Feit 60-Watt A19 Gu24 Base Led Light Bulb - Soft White,50.75,49.25
